What NEC article covers telephone and data communications wiring?	Article 800 — https://up.codes/viewer/washington/nfpa-70-2020/chapter/8/communications-systems#800
Does RCW 19.28 apply to work done on utility company property?	No — it exempts work done by or for utilities on utility-owned property — https://app.leg.wa.gov/rcw/default.aspx?cite=19.28
What is the penalty for performing electrical work without a license in WA?	Misdemeanor; subject to fines and stop-work orders — https://app.leg.wa.gov/rcw/default.aspx?cite=19.28
What does WAC 296-46B govern?	Washington State electrical installation rules (WA amendments to and enforcement of the NEC) — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B
What edition of the NEC does WAC 296-46B currently reference?	2020 NEC — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B
What is WAC 296-46B-920?	The specialty classifications section — defines what each license type can perform — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B-920
What specialty work can a telecom administrator supervise?	Telecommunications wiring and equipment installation — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B-920
What is required for a permit application under WAC 296-46B?	Applicant must be a licensed administrator or contractor; work scope must be described — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B
What does WAC 296-46B require for inspections?	Work must be inspected and approved before being concealed or energized — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B
Who performs electrical inspections in WA?	L&I inspectors or approved local inspectors (third-party inspection agencies) — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B
What is a certificate of approval (COA) in WA?	The document issued after an inspection passes — required before energizing new work — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B
What is the scope of a 09-Telecommunications specialty?	Installation of comm wiring, fiber, coax, phone systems, and related low-voltage telecom equipment — https://app.leg.wa.gov/wac/default.aspx?cite=296-46B-920
What score do you need to pass the telecom admin exam?	70% on each section — https://lni.wa.gov/licensing-permits/electrical/electrical-licensing-exams-education/telecommunications-administrator
How many questions are on the NEC & Theory section?	30 scored (plus up to 10 unscored experimental) — https://lni.wa.gov/licensing-permits/electrical/electrical-licensing-exams-education/telecommunications-administrator
How many questions are on the WA Codes section?	17 — https://lni.wa.gov/licensing-permits/electrical/electrical-licensing-exams-education/telecommunications-administrator
How long is the NEC & Theory section?	2 hours — https://lni.wa.gov/licensing-permits/electrical/electrical-licensing-exams-education/telecommunications-administrator
How long is the WA Codes section?	1 hour — https://lni.wa.gov/licensing-permits/electrical/electrical-licensing-exams-education/telecommunications-administrator
Is the telecom admin exam open book?	Yes — original copyrighted materials and printed RCW/WAC in a binder allowed — https://lni.wa.gov/licensing-permits/electrical/electrical-licensing-exams-education/telecommunications-administrator
How long do you have to apply for your certificate after passing?	90 days from the last passing score — https://lni.wa.gov/licensing-permits/electrical/electrical-licensing-exams-education/telecommunications-administrator
Does a telecom administrator candidate need L&I pre-approval to schedule the exam?	No — schedule directly with PSI using your SSN as the WLI_ID — https://test-takers.psiexams.com/walaborind
How long do you have to pass all exam sections?	One year from first attempt — https://test-takers.psiexams.com/walaborind
How long must you wait to retest after a failure?	14 days; after 3rd failure, 3 months — https://test-takers.psiexams.com/walaborind
